Date,Description,Amount,Balance
11/04/2024,Stripe payouts (MRR),14200,2514200
11/06/2024,Payroll — net,-38000,2476200
11/08/2024,AWS,-4200,2472000
11/12/2024,Google Workspace,-540,2471460
11/15/2024,Contractor payout,-12000,2459460
11/18/2024,Stripe payouts (MRR),15100,2474560
11/22/2024,Payroll — net,-38000,2436560
11/25/2024,Legal retainer,-5000,2431560
11/28/2024,Office rent,-8500,2423060
12/02/2024,Stripe payouts (MRR),16800,2439860
12/05/2024,Payroll — net,-38500,2401360
12/09/2024,AWS,-4300,2397060
12/11/2024,Marketing ads,-6200,2390860
12/14/2024,Stripe payouts (MRR),17200,2408060
12/18/2024,Payroll — net,-38500,2369560
12/20/2024,Benefits,-2100,2367460
12/23/2024,Insurance,-1800,2365660
12/27/2024,Office rent,-8500,2357160
12/30/2024,Stripe payouts (MRR),18100,2375260
01/03/2025,Payroll — net,-39200,2336060
01/07/2025,AWS,-4400,2331660
01/10/2025,Stripe payouts (MRR),18900,2350560
01/14/2025,Contractor,-15000,2335560
01/17/2025,Payroll — net,-39200,2296360
01/21/2025,Stripe payouts (MRR),19500,2315860
01/24/2025,Marketing,-7100,2308760
01/28/2025,Office rent,-8500,2300260
01/31/2025,Stripe payouts (MRR),20100,2320360
02/03/2025,Payroll — net,-40000,2280360
02/06/2025,AWS,-4500,2275860
02/10/2025,Stripe payouts (MRR),21200,2297060
02/14/2025,Payroll — net,-40000,2257060
02/18/2025,Legal,-3500,2253560
02/21/2025,Stripe payouts (MRR),21800,2275360
02/25/2025,Office rent,-8500,2266860
02/28/2025,Stripe payouts (MRR),22400,2289260
03/03/2025,Payroll — net,-41000,2248260
03/07/2025,AWS,-4600,2243660
03/11/2025,Stripe payouts (MRR),23100,2266760
03/14/2025,Payroll — net,-41000,2225760
03/18/2025,Marketing,-7800,2217960
03/21/2025,Stripe payouts (MRR),23800,2241760
03/25/2025,Office rent,-8500,2233260
03/28/2025,Stripe payouts (MRR),24100,2257360
